review,label
I would give Ugo stars if I could His apartment was spotlessly clean comfortable and central He made check in and check out very easy and sent us a list of his favorite places in the area Highly recommended,B
Alexandra has a nice apartment Even with a small balcony The street is very quiet All transport is close The supermarket is on the corner The parking under the building is spacious We would like to come back next time Alexandra is very hospitable,B
Lovely little apartment in a great location in Paris perfect for spending a few nights in the city Sarah was was great with her communication check in was easy and she was very helpful with any questions we had Would recommend,B
Roman was a fantastic host The apartment was pristine and felt like a typical Parisian apartment very comfortable setting and very short walk to several interesting neighborhoods most famously Montmartre very convenient to Gare du Nord station and steps away from the metro to other touristic areas of Paris Roman was very communicative and he and his girlfriend do a fantastic job of making sure their guests have a great experience I would definitely choose this apartment again on future trips to Paris A small note The neighborhood is very lively and there is a lot of local activity around the apartment building into the night My friend and I did not feel in danger but females traveling alone may feel a bit uncomfortable going in out of the building like in any major city Inside the apartment itself it is very calm and quiet even with the windows open,A
My husband and I LOVED our stay at Simon s place The apartment looks exactly as pictured and the view is just incredible We loved waking up and going to bed with a view of the Eiffel tower The location is really great Easy to travel into the center of Paris by metro usually a min metro and the neighborhood is so neat Montmarte is full of artistic inspiration and history The apartment is situated on a perfect cobblestone alley near Vincent van Gogh s house you really feel like you re getting the Paris experience Plus we were pleasantly surprised to find that we were very close to amazing bakeries and restaurants and one of the best creperies in town The neighborhood always felt lively and safe which we appreciated Yes the apartment is located on the top floor and there are quite a few staircases to climb but we always welcomed the exercise after eating our way through the city we needed it The living room and bedroom have large windows that provided a wonderful fresh breeze We loved enjoying a glass of wine while looking at the Eiffel tower The place is nicely decorated with art and the floor to ceiling book shelves filled with books were so neat to peruse Bed was super comfy Shower was large and had great water pressure My husband enjoyed the Nespresso machine Simon was also a very generous host When our flight was early he let us check in much earlier than anticipated and he provided some of the best restaurant recommendations we had on our trip including an Italian restaurant just a minute walk from the apartment We feel like we totally lucked out and would definitely stay here again,A
"Very comfortable apartment located in a very well connected location in Paris. In addition, the nights were calm and silent and the apartment was not too hot despite the heatwave.",B
Very warm welcome by the owner and her son who also met Anne is also very accommodating especially when handing over the keys Apartment conforms to the advertisement pleasant very well appointed with all the comfort desired comfortable bedding a well equipped kitchen and even some food products available It is located minutes from the station and close to the metro in a really very quiet street with all shops nearby Highly recommended and thank you again Anne,A
Great area a little place for or person to call home while in Paris very convenient location with lots of restaurant cafes and shops nearby Fantastic host Everything as described in the hosting,B
A very nice accommodation Well located with many stores nearby Kartier pleasant hosts very pleasant helpful always available thank you,B
Lovely apartment and great communication from the host We had to check in late at night and later than expected because our flight was delayed but this was not a problem We were met at the door by our host s brother and welcomed Would stay here again,B
Really rally good place in nice part of Paris with local bakeries corner shops etc Lovely flat allowing you to feel as a local Great stay easy communication with the owner,B
Simon is an amazing host with thorough description on his listing and communications His apartment was a work of art with his art and book collections additionally we love sitting in the comfy couches and looking over the most unbeatable beautiful scenes of Paris We will certain try to book simons place again when we visit Paris next time,A
The apartment was stylish and in a great location in the Marais neighborhood Natz greeted my boyfriend and he showed him great warm and kind hospitality The towels were folded into swans and the place was sparkling clean Couldn x t have asked for a better stay in Paris Thank you,B
Great location host Very well recommended accommodation,C
"Accommodation identical to the description No surprises, accommodating and friendly host",C
The location of the flat is excellent,C
??????????4????????????????????????????????????????2????,C
We met Carlotta s friend and she welcomed us to Paris and helped answer all our questions Apartment was within walking distance of all Paris attractions Overall great stay,B
This apartment is a great place from which to explore Paris It x s very appealing and convenient to so much My friends were staying elsewhere but the Velib bikes have a station ride on the same street so I was able to commute quickly and cheaply to their neighborhood This neighborhood is pretty charming itself I also appreciated the little store next door for treats and beverages when I x d get in at night I recommend this one,B
I have no complains about this place Sarah was very kind The place is lovely clean with all the stuff needed Very close to sacre coeur and Montmartre I will come back for sure,B
L x apartment d x H l ne is really located very close to public transport metro RER bus which is very convenient It is very small but very well appointed and above all very cute We are minutes walk from La Villette and minutes from the edge of the canal where there are plenty of small restaurants Ideal location Charming hostess Very good,B
This apartment was wonderful It was in a great location on a quiet side street Although it was a ground level apartment we were not disturbed by any noise Very clean and safe with plenty enough space for two people Our host was there to greet us and show us around,B
The apartment is as described and shown in the pictures Everything was perfect clean an appropriate for our week in Paris In addition the location is pretty convenient Camile was very helpful and even he could not make it for the check in he was very efficient and found a solution to deliver us the keys Overall if we go back to Paris we will definetely consider Camille s place as an option,A
This place was exactly as described A great value for Paris Lots of space for people and very good location On a quiet alley but close to many restaurants and Le Marais We walked to all the tourist attractions even late at night and always felt very safe Its also only set of stairs which is a bonus for most places in Paris,B
Fiona has been such a great host The flat is exactly what I was expecting stunning Amazingly friendly area easy communication with Fiona who has been really helpfull every time I needed advices Can t wait to be back in Paris I definitely recommend this place,B
Had a wonderful week here in Paris The apartment is just as advertised with lots of charm and function Check in and out was a breeze Thanks Dominique,C
Thomas x s apartment was bigger than we expected With very nice lighting in every space What we loved the most about staying here is that everything was so close and convenient in getting to the main attractions in Paris We even went to the Palace of Versailles and it was quite easy to get to the metro and move around The area was trustful we felt safe at all times even though some days we arrived pass pm Thomas was easy to talk to and very helpful and quick with responses I will recommend this place for sure to friends and family visiting Paris,A
Lovely cosy air bnb which was in a nice location with a handy supermarket cafes and bars down the street Great value for money,B
"Great apartment, Thomas did everything to ensure that we had a very good day",B
It was a last minute booking for us but Benjamin responded promptly He was very accommodating and friendly The location is excellent and his apartment is bright clean and comfortable,B
We had a wonderful time at Justine x s place The place felt very cosy and great for a weekend in Paris Justine was very friendly responsive and caring Thank you,C
Ok!,C
More well located near the heart of Paris and the boulevards Affordable and decorated with complete equipment for a long stay Less Some problems with the plumbing A little small for two people if you want to do something other than lie down and no nearby park for picnic,B
