listing_id,review,label
21990843,"We had a great weekend in Pauline's apartment, which was available and with whom the exchanges were fluid and pleasant.The apartment, in addition to being located in an attractive neighborhood, is really very beautiful.Bright, spacious, very well appointed, tastefully decorated and super clean, we were delighted with our short stay with Pauline's.No complaints !",B
25439485,Very good stay with Sylvain.Impeccable and very pleasant apartment.,C
24977084,Perfect Paris apartment! The location is great and the place is clean and beautiful. Close to the train station and in between two metro lines.,B
10097775,"Amazing. Close to metro, fun area of the city. Perfect stay.",C
31203011,This was a favourite stay for us. Marietta waited up to greet us despite our late arrival due to delayed flight. It is a simple stylish space with a fabulous central location.Everyone with a large suitcase will appreciate the lift to the 3rd floor. Highly recommended!,A
35563732,"Nice and cosy apartment just as described. Conveniently located and well connected to the city centre, tourist attractions and main stations with nearby public transport, especially with Metro No. 5 just downstairs. The neighbourhood is vibrant and fun to explore, close to a lot of shops and restaurants, as well as an amazing park nearby.
Apartment itself was clean and equipped with everything we needed for a short stay. Carine has unique and tasteful furniture, not to mention her very cute set of tiny collectible items from where she had travelled, which makes the apartment feel a bit personal but also very interesting.
Carine greeted us when we arrived and was always reachable if we need anything. She even let us leave our luggage there on the last day. Overall we really enjoyed staying at Carine's. It was a very nice Parisian experience and we would surely do it again.",A
3723239,"That apartment is really really cosy as it is written in the description. It's the kind of apartment I would love to live in, it's spacious with a good distribution.",B
10097775,"Very nice and cosy flat and great location, instructions left by host to pick up keys and enter the flat were accurate and she  also texted us to check everything was ok and to let us know there was a strike!",B
8250349,"Gilles' apartment in Paris was perfect for my husband and I. We were met on time, at the front door. After a quick tour of the VERY CLEAN apartment, we were on our own! The apartment is on the ground floor, convenient if you have a few pieces of luggage.

Everything is as pictured in the listing. The rough stone walls and wood floors brought the charm of the Le Marais neighborhood inside. All of the furnishings were in great condition and the bed was very comfortable, too. Plenty of clothing storage in the closet and under-bed drawers. 

The kitchen was fully outfitted as expected - dinnerware, pots and pans (even a wok!) and plenty of glasses for the delicious French wines. Although there is no clothes washing facilities in the apartment, there's a great little launderette just a few doors down.

The bathroom was perfect for two people - and there's plenty of hot water :-)

The neighborhood is vibrant and there are plenty of places to eat within walking distance. I'd recommend to check out the open air market across the street and the boulangerie around the corner. It's also a short walk to two Metro stops which can get you just about anywhere in Paris quickly.

All-in-all, we had a perfect time in Paris! Gilles' place will always be at the top of my list when I visit Paris.",A
13012486,"Elisabeth did everything she can to make our stay the best she can, but in my opinion the apartment its ok but not the best.",C
4152939,"Exzellete communication, perfect hospital, very pleasant stay - I come back",C
2665694,Everything was perfect !,C
19291409,Clémence was very helpful and made it very simple to stay at her place. Many thanks again for your hospitality!,C
168217,"Emilie was so nice and welcoming that me and my friend Allan we would have loved to stay longer! She was always reachable for whatever question we could have about the flat and... Yes the flat is amazing! Literally 30 seconds walking from the tube station as well as Butte Chaumont park, the most beautiful park of Paris!
The propriety has an amazing view on the park (which you cannot really see from the pictures I think) as it's at the 9th floor (with elevator) and is bright and fresh.
The kitchen is equipped with everything you could wish to have for cooking at home and the whole apartment has been  refurbished just a few years ago.
Only thing, it can be a bit noisy during peak hours as it's facing the main road, but it's a totally worth stay*****",A
23985190,Very welcome and stay.Impeccably and extremely cute apartment.I recommend and will come back with pleasure.,B
19719617,The stay at Juliette's home was very nice and communication was very easy. The best thing about the place was the view I saw when I came to the street from the metro tired and sweaty with my heavy luggage. Paris was truely amazing that moment!,B
5634911,"Great location in the heart of The Marais!  Bathroom is small, but has great amenities. Apartment was very, very clean :-). Sybille was easy to contact and waited patiently for us to arrive. When visiting Paris as a couple, this is a great place to stay. ",A
30809640,"10 minuites walk to the Eiffel tower and Triumphal arch.
What a safe and beautiful location!
The flat was clean and spacious  just like the picture. We really liked it!
The house was fully furnished there was everything that I need so I didn’t have to buy one!
Benjamine is such a polite and friendly host ever! He was willing to answer my questions and always replied me in 30 minutes. Once I had a problem
with the tv and the coffee machine, he came to the house and showed me how to figure it out, which impressed me a lot.   If there’s any chance to visit Paris again, I will definitely come to his house. Benjamine made my visit to Paris with mom more special, thanks to his help we were able to make wonderful memories! Thank you👍🏻",A
27506294,"Anais is very good Host 5*****

House very close to Metro :D

Thanks",C
32562455,"Apartment very well located, design and comfort at the top.",C
6091393,"Margaux is really nice and helpful, and very accommodating. Her flat is very cosy, charming, with many clever features. The location is just perfect, can't be more central and in a very cool neighbourhood. ",B
36448089,"Exactly as advertised. Great location next to restaurants, stores, and main tourist attractions. The hosts were responsive and really nice. Would stay there again.",B
13920401,"Mathias was an amazng host! He met us at the metro upon arrival and walked us to his flat. The place was very clean and he made it very simple for us to get the keys etc. He stayed in touch and recommended things to see and provided directions. The district is amazing - the flat is very well located - close to cafes, restaurants, the metro, market etc. Overall a very good visit!!!",B
25766867,"good apartment. everything you need, it is clean and on a great location
",C
32778493,"Very nice, cozy and bright apartment with great furnishings and lots of attention to detail.The bathroom is very small, but still has everything you need :)
Great location with two metro stations nearby and good shopping.Nice cafes and parks can also be reached on foot.The hosts were very nice and everything worked well.We were very comfortable and would definitely come back!:)",A
22313560,"A very cute apartment, I loved spending time in there. Even nicer in real life than in the photos. Anne-Charlotte was a wonderful and accommodating host, very easy to communicate with. The only snag is a lack of WiFi which I knew about at the time of booking, but I didn’t realize how much I’ll miss.",B
33467662,"We loved Sarah's place - the location is fantastic and super lively, plus the space is really cool! Perfect for the 2 of us, we'd definitely stay here again. thank you!",B
7488035,"Nice apartment which corresponds perfectly to the photos and which is located in a nice neighborhood where you can find several restaurants, supermarkets, bars, pastries, wine cellars etc.
We really feel at home since Malvina offers clean towels and sheets, soaps, gels, hair dryer etc.
I highly recommend this apartment.",A
8462258,The stay was amazing. Margaux was extremely friendly by answering our questions on the stay. The apartment was very comfortable. I would recommend this apartment.,B
14940650,"Very nice, light and quiet apartment with great atmosphere. Not far from Gare du Nord and Sacre Coeur by foot or to Paris centre with public traffic.",B
